"NAME","Edad","total","hombres","mujeres","porc_hombres","porc_mujeres"
"Araba/Álava","De 0 a 4 años",13949,7122,6827,2.1347257108259,2.04630334566251
"Araba/Álava","De 10 a 14 años  ",17186,8871,8315,2.65896542835391,2.49231175028325
"Araba/Álava","De 15 a 19 años  ",15633,8091,7542,2.42517070012529,2.26061517987207
"Araba/Álava","De 20 a 24 años",14858,7587,7271,2.27410333726988,2.17938649865418
"Araba/Álava","De 25 a 29 años",15051,7629,7422,2.28669228417449,2.22464676014459
"Araba/Álava","De 30 a 34 años",17481,8759,8722,2.62539490327492,2.61430464052562
"Araba/Álava","De 35 a 39 años",22263,11107,11156,3.32917698260927,3.34386408733132
"Araba/Álava","De 40 a 44 años",27836,14251,13585,4.27154957946923,4.07192484998172
"Araba/Álava","De 45 a 49 años",28002,14384,13618,4.31141457800052,4.08181616540677
"Araba/Álava","De 5 a 9 años",17108,8871,8237,2.65896542835391,2.46893227746039
"Araba/Álava","De 50 a 54 años",26059,13171,12888,3.94783380192191,3.86300827873127
"Araba/Álava","De 55 a 59 años",24622,12066,12556,3.61662460359804,3.76349565081858
"Araba/Álava","De 60 a 64 años",22044,10594,11450,3.1754119882743,3.43198671566365
"Araba/Álava","De 65 a 69 años",18912,9020,9892,2.70362621618219,2.96499673286854
"Araba/Álava","De 70 a 74 años  ",17263,8155,9108,2.44435385731328,2.73000305731568
"Araba/Álava","De 75 a 79 años  ",13854,6430,7424,1.92730782373076,2.22524623380672
"Araba/Álava","De 80 a 84 años  ",9620,4119,5501,1.23461600714573,1.64885230767386
"Araba/Álava","De 85 a 89 años  ",7383,2806,4577,0.84106154796089,1.37189547577227
"Araba/Álava","De 90 a 94 años  ",3464,1026,2438,0.307529988669948,0.730758394129954
"Araba/Álava","De 95 a 99 años  ",923,182,741,0.0545521032533436,0.222104991817185
"Ávila","100 y más años",115,32,83,0.0201993422589177,0.0523920439840678
"Ávila","De 0 a 4 años",4996,2518,2478,1.58943574399859,1.56418656617494
"Ávila","De 10 a 14 años  ",7208,3761,3447,2.37405394486842,2.17584789895279
"Ávila","De 15 a 19 años  ",6951,3610,3341,2.27873829858415,2.10893757772013
"Ávila","De 20 a 24 años",7169,3655,3514,2.30714362363576,2.2181402718074
"Ávila","De 25 a 29 años",7239,3822,3417,2.41255894104948,2.15691101558506
"Ávila","De 30 a 34 años",7838,4024,3814,2.5400672890589,2.40750910548475
"Ávila","De 35 a 39 años",9032,4554,4478,2.87461889522222,2.82664545735729
"Ávila","De 40 a 44 años",11169,5741,5428,3.62388824713895,3.42631343066891
"Ávila","De 45 a 49 años",11875,6102,5773,3.85176207699737,3.64408758939787
"Ávila","De 5 a 9 años",6422,3395,3027,2.14302396778205,1.9107315318045
"Ávila","De 50 a 54 años",12398,6255,6143,3.94834018217282,3.87764248426661
"Ávila","De 55 a 59 años",12950,6699,6251,4.2286060560153,3.94581526439045
"Ávila","De 60 a 64 años",11957,6318,5639,3.98810763724506,3.55950284368865
"Ávila","De 65 a 69 años",9607,5133,4474,3.24010074421952,2.82412053957493
"Ávila","De 70 a 74 años  ",8695,4345,4350,2.74269194109367,2.74584808832162
"Ávila","De 75 a 79 años  ",7500,3513,3987,2.21750904236181,2.51671179957203
"Ávila","De 80 a 84 años  ",6186,2686,3500,1.6954822908579,2.20930305956912
"Ávila","De 85 a 89 años  ",5456,2154,3302,1.3596682258034,2.08431962934207
"Ávila","De 90 a 94 años  ",2861,995,1866,0.628073298363222,1.17787414547314
"Ávila","De 95 a 99 años  ",797,250,547,0.157807361397794,0.345282506738374
"Badajoz","100 y más años",174,36,138,0.00537359148464869,0.02059876735782
"Badajoz","De 0 a 4 años",26826,13809,13017,2.06122013365316,1.94300112099089
"Badajoz","De 10 a 14 años  ",35214,18132,17082,2.70649891110139,2.5497691594658
"Badajoz","De 15 a 19 años  ",34419,17488,16931,2.61037133009823,2.52722992851631
"Badajoz","De 20 a 24 años",35579,18134,17445,2.70679744396165,2.60395287360268
"Badajoz","De 25 a 29 años",37893,19359,18534,2.88964882086983,2.7665040160133
"Badajoz","De 30 a 34 años",40570,20858,19712,3.1133991996334,2.94233987070542
"Badajoz","De 35 a 39 años",44132,22408,21724,3.34476216633355,3.24266392812523
"Badajoz","De 40 a 44 años",50040,24948,25092,3.72389889886154,3.74539326480014
"Badajoz","De 45 a 49 años",51986,26334,25652,3.93078217102052,3.82898246567245
"Badajoz","De 5 a 9 años",31177,16027,15150,2.39229307567957,2.26138641645633
"Badajoz","De 50 a 54 años",52519,26181,26338,3.90794440721076,3.93137923674104
"Badajoz","De 55 a 59 años",52261,26285,25976,3.92346811594419,3.87734478903429
"Badajoz","De 60 a 64 años",44356,22452,21904,3.35132988925924,3.26953188554847
"Badajoz","De 65 a 69 años",34540,17196,17344,2.56678553250053,2.58887696415964
"Badajoz","De 70 a 74 años  ",30143,14157,15986,2.1131648513381,2.38617315204428
"Badajoz","De 75 a 79 años  ",25310,11271,14039,1.68238193398543,2.09555141258286
"Badajoz","De 80 a 84 años  ",19610,7816,11794,1.16666641788928,1.76044827694296
"Badajoz","De 85 a 89 años  ",15607,5778,9829,0.862461433286115,1.46713974173922
"Badajoz","De 90 a 94 años  ",6144,1980,4164,0.295547531655678,0.621545415057699
"Badajoz","De 95 a 99 años  ",1443,376,1067,0.056124177728553,0.159267280947782
"Balears, Illes","100 y más años",317,73,244,0.00622331646501985,0.0208012221570526
"Balears, Illes","De 0 a 4 años",50673,26008,24665,2.21720567975666,2.10271370698239
"Balears, Illes","De 10 a 14 años  ",62560,32190,30370,2.74422680834231,2.58907015126922
"Balears, Illes","De 15 a 19 años  ",59204,30421,28783,2.59341794770368,2.45377695633789
"Balears, Illes","De 20 a 24 años",61732,31689,30043,2.70151610219197,2.56119310354235
"Balears, Illes","De 25 a 29 años",73604,36832,36772,3.13996153478919,3.13484648016041
"Balears, Illes","De 30 a 34 años",83614,41940,41674,3.57542318551962,3.55274644333201
"Balears, Illes","De 35 a 39 años",93522,47427,46095,4.04319493132187,3.92964071856287
"Balears, Illes","De 40 a 44 años",104727,54136,50591,4.61514328973033,4.31292881207971
"Balears, Illes","De 45 a 49 años",102327,53125,49202,4.52895461923533,4.19451529742338
"Balears, Illes","De 5 a 9 años",57954,29709,28245,2.53271929944212,2.4079119664998
"Balears, Illes","De 50 a 54 años",90258,46069,44189,3.9274241948904,3.76715248318852
"Balears, Illes","De 55 a 59 años",78987,39416,39571,3.3602498874688,3.37346377859316
"Balears, Illes","De 60 a 64 años",66484,32476,34008,2.76860856873951,2.89921296359445
"Balears, Illes","De 65 a 69 años",54543,26339,28204,2.24542373112545,2.40441667917013
"Balears, Illes","De 70 a 74 años  ",46700,21995,24705,1.87509377600153,2.10612374340158
"Balears, Illes","De 75 a 79 años  ",35298,16059,19239,1.36904437139389,1.64014226671941
"Balears, Illes","De 80 a 84 años  ",23970,10059,13911,0.857538908515543,1.18592541568344
"Balears, Illes","De 85 a 89 años  ",17002,6179,10823,0.526765375854214,0.922670604122052
"Balears, Illes","De 90 a 94 años  ",7583,2216,5367,0.188916017623068,0.457541636544678
"Balears, Illes","De 95 a 99 años  ",1949,495,1454,0.0421992006874633,0.123954823837519
"Barcelona","100 y más años",1853,325,1528,0.00568705783125362,0.0267379211266324
"Barcelona","De 0 a 4 años",234676,120251,114425,2.10422889620332,2.00228182258829
"Barcelona","De 10 a 14 años  ",311473,160792,150681,2.81364123939364,2.63671249560347
"Barcelona","De 15 a 19 años  ",298819,154766,144053,2.70819443788245,2.52073151312485
